J;Lamine;Yamal;13/07/2007;9;1670000;10;DAV;91
J;Robert;Lewandowski;21/08/1988;8;33000000;9;DAV;94
E;Hansi;Flick;24/02/1965;7;3000000;8;false
J;Marc-André;ter Stegen;30/04/1992;9;15000000;1;POR;90
J;Jules;Koundé;12/11/1998;8;10000000;23;DEF;88
J;Alejandro;Balde;18/10/2003;9;3000000;12;DEF;85
J;Ronald;Araújo;07/03/1999;8;5000000;4;DEF;87
J;Pedri;González;25/11/2002;9;7000000;8;MIG;92
J;Gavi;Páez;05/08/2004;9;5000000;6;MIG;86
E;Diego;Simeone;28/04/1970;9;4000000;10;true
J;Ferran;Torres;29/02/2000;7;6000000;11;DAV;85
J;Raphinha;Dias;14/12/1996;8;9000000;22;DAV;88
J;Frenkie;de Jong;12/05/1997;8;8000000;21;MIG;82
J;Andreas;Christensen;10/04/1996;8;6000000;15;DEF;86
J;Iñigo;Martínez;17/05/1991;7;4000000;5;DEF;74
E;Carlo;Ancelotti;10/06/1959;8;5000000;15;true
J;Vinícius;Júnior;12/07/2000;9;12000000;7;DAV;92
J;Federico;Valverde;22/07/1998;6;10000000;15;MIG;70
J;Thibaut;Courtois;11/05/1992;5;15000000;1;POR;91
J;David;Alaba;24/06/1992;7;11000000;4;DEF;72
E;Manuel;Pellegrini;16/09/1953;8;3500000;12;true
J;Antoine;Griezmann;21/03/1991;8;14000000;8;DAV;90
J;Jan;Oblak;07/01/1993;9;10000000;13;POR;91
J;Koke;Resurrección;08/01/1992;8;7000000;6;MIG;68
J;Iago;Aspas;01/08/1987;8;5000000;10;DAV;77
E;Ernesto;Valverde;09/02/1964;7;3000000;9;true
J;Mikel;Oyarzabal;21/04/1997;8;6000000;10;DAV;79
J;Alexander;Isak;21/09/1999;6;7000000;19;DAV;82
J;Gerard;Moreno;07/04/1992;8;8000000;7;DAV;80
J;Pau;Torres;16/01/1997;8;5000000;4;DEF;77
